,tweets,FinalScore
150,"RT @ChrisFlaherty8: ""ZNPP????????Ã¢ÂÂ¬???????s power units have been mined by the Russian army ... ahead of the expected counteroffensive, the 'Russians are p????????Ã¢ÂÂ¬???????",0
151,"@RealEdSchwab @Sprinter99880 Oh shut up up you're fooling no one, no one floods their own country putting millions of lives at risk and risking a massive #Nuclear accident you pathetic  #Quisling tool.
Dnipro River #russia #putin #FalseFlag #russianWarcrimes #Kherson #russiaIsLoosing #Himars #Nato https://t.co/eUKJaqi1uh",2
152,"@KarinaVinnikova Well the fart is pretty overrated as we the Dutch have the most cowshit in all of europe because mass production and export. Karina, everyone wants to help. But you cant expect rescuers to come and be shot at. NATO needs to put boots on the ground imo, same as a nuclear accident.",2
153,"RT @celbrice: Here my presentation for our previous @MITATELab'Session, on ""Namie (Fukushima), A model city of post-nuclear accident recons????????Ã¢ÂÂ¬???????",2
154,"RT @UKR_Report: Zaporizhzhia NPP, Europe's largest Nuclear Power Plant, was drawing cooling water from the dam's reservoir while operating????????Ã¢ÂÂ¬???????",0
155,"When a nuclear accident occurs, to avoid the danger zone.",0
156,"@keithamccluske1 @den_kazansky in this way, they will be able to provoke an accident at the Zaporizhzhya nuclear power plant, which will be worse than Chernobyl in terms of scale",2
157,"RT @DecodingTrolls: ??????Apollo's Swan Dodges Ruschist Kakhovka Explosion - Video.

Video: https://t.co/S5nkxYHtXP

If you plant mines in a nu????????Ã¢ÂÂ¬???????",0
158,"@apmassaro3 So the opposite is true: next false flag by Ukraine will be a nuclear ?????? accident. 
????????Ã¢ÂÂ¬???????This people are dumb????????Ã¢ÂÂ¬??????? Q",2
159,"RT @7urz: Imagine if two wind power deaths in the Netherlands had prompted a wind power exit in Australia.

That's the same as the nuclear????????Ã¢ÂÂ¬???????",0
160,"RT @energybants: ZAPORIZHZHIA NUCLEAR: LOSS OF KAKHOVKA DAM

Zaporizhzhia NPP, Europe's largest, draws cooling water from a reservoir whose????????Ã¢ÂÂ¬???????",0
161,World! Please don't forgive war crimes to all Russian nation after end of this war or X years after. Russians is 140 mil of Putins. Most of them support this evil attack. Don't forgive. Especially if Ukraine will be destroyed by an accident at a nuclear plant or by nuc weapons.,2
162,"@tdoyle_4 @GovNuclear What about waster water from nuclear plants, https://t.co/sKlFs9so7k

what if there is an accident. Do you how worse it's gonna be ?",2
163,@100ANB @DefenceU @Liberov The cost of shelling a nuclear power plant is that more than 80% of Ukraine's land is no longer habitable,2
164,"@bigcrispo @CouldBeMistaken @douglasritz @dwallacewells lol okay sure! it's practicable RIGHT NOW, Otis, and cheaper than new coal, oil, and gas installations. that's right, CURRENT tech and cost!

i believe it's competitive with nuclear but trends suggest it will be cheaper soon. sorry for considering the future, i know you hate that",1
165,@Alpharabius870 @RahavBen @AlexEpstein @thecoastguy I did my own research on LCOE. All subsidies are removed when calculating LCOE. Fossil fuels are heavily subsidized. That's why the facts are utility-scale solar and wind are far more economical than fossil fuels and nuclear. https://t.co/eUAhf90Bdw https://t.co/cBV0udpjIF,0
166,"RT @arvv: Here's something that sounds unbelievable ????????Ã¢ÂÂ¬??????? but is true:

India builds nuclear reactors that are CHEAPER THAN SOLAR per unit of e????????Ã¢ÂÂ¬???????",0
167,RT @bruce_kangaroo: @Andrea__Leong @bobjcarr I guess that leave it alone is the point. However I am sure the UK would be interested in payi????????Ã¢ÂÂ¬???????,0
168,"Nuclear abolition is an ENVIRONMENTAL issue:

The entire life cycle of nuclear weapons is toxic, and their production can contaminate land and water for thousands of years. Efforts to clean up sites in poor/rural areas have cost taxpayers billions and remain largely incomplete.",2
169,@BenjiSJones Nuclear power would bring down cost of recycling,0
170,"@LadyJayPersists @malinablue * Pandemic still raging 
*major cost of living crisis 
*  the closest to possible Nuclear conflict we have been in decades 
* Multiple mass shootings targeting children every year.
This guy thinks the greatest problem facing society is.. checks notes... girls liking jeans ????????????????Ã¢ÂÂ¬?????????????",2
171,"Global Zionism and its illegitimate child Israel have cost the US government enormous costs and hardships, including the attack on the Liberty ship, the theft of the Nomak nuclear plant, the assassination of John F. Kennedy, the 9/11 attacks, and so on.
#USSLiberty",2
172,@RahavBen @AlexEpstein @thecoastguy Fossil fuels receive higher subsidies than renewable energy. Fossil fuel shills like Alex Epstein don't tell you that. LCOE calculates cost of energy generation without subsidies. Utility scale solar and wind are far cheaper than fossil fuels or nuclear. https://t.co/gCP0QHlMTs,0
173,"RT @ArmsControlNow: ""G-7 Leaders Confront Human Cost of Nuclear War,"" news analysis of the Hiroshima summit by @DarylGKimball in the June i????????Ã¢ÂÂ¬???????",0
174,"RT @dorfman_p: Hugely over-cost, over-time.

#Nuclear far too late for #climate and #energy crisis.

'Only nuclear plant under construction????????Ã¢ÂÂ¬???????",2
175,@mattjcan Seriously the cost of nuclear power is too inhibitive and your govt did absolutely nothing but prop up your filthy coal mates!,2
176,"@KnightsTempOrg @historyinmemes And how many lives has coal cost the human race?  Nuclear?  Hell, even just the electric grid?  Between lung disease, cave ins, power plant fires and disasters like 7 Mile Island, Chernobyl, and Fukushima... stf down and stfu.",2
177,RT @seanonolennon: Why aren????????Ã¢ÂÂ¬???????t environmentalists shilling nuclear energy? I thought low cost with zero emissions was supposed to be the goal.,0
178,"the destruction of biodiversity not only in the Kakhovka reservoir but also in the surrounding areas.""
A reminder that the war's environmental impact is likely to be severe and long-lasting.
Before this phase of the war began in 2022, I wrote on this topic https://t.co/mO5u8XXOzF",2
179,@Andrea__Leong @bobjcarr I guess that leave it alone is the point. However I am sure the UK would be interested in paying you for it because????????Ã¢ÂÂ¬???????????????Ã¢ÂÂ¬???????https://t.co/xPvU17MHeh,0
180,RT @SocEconB: ??28 billion a year for a Green prosperity plan does not go very far when you include nuclear. Hinckley Point C cost ??33bn. An????????Ã¢ÂÂ¬???????,0
181,"Very sad it cost you money to find out that gas is best fuel for heating, coal &amp; gas for base load if nuclear no available.
Maybe you can convince ppl that Bowen is a dud. https://t.co/Z2oE62z3qq",2
182,@EnergyWrapAU one for each state? they will only cost $2.7 TRILLION plus 10's of billions to store nuclear waste https://t.co/ZVuiAO9BwF,2
183,"@mattjcan even you latest pet - Finland - are spending billions to subsidies the cost of nuclear power and billions to store the waste

It's about your bank account nothing more https://t.co/wjvk3vdZzO",2
184,"RT @dorfman_p: ""Hinkley Point C #nuclear plant, the only one currently under construction in Britain, is facing increasing worries about fu????????Ã¢ÂÂ¬???????",0
185,"@ThruNoiz @AlexEpstein And nuclear is not reliable?  That is the most reliable form of energy.
There are multiple reactors that went years without any shutdown at all.",1
186,"@jimmy_dore @tucker Have you forgotten those same russian forces fiered tanks shells and RPGs into that exact power plant when they captured it?
https://t.co/jvPIv0Ksul

Whatever made you think they care that it is dangerous?

note; the plant is in cold shutdown since september, cooling is no issue.",2
187,@johnsw @KonstantinKisin @TuckerCarlson You should maybe learn a little more about cooling requirements of shutdown nuclear reactor cores.,2
188,"@ZwitterelfZana @KimDotcom They do have more to gain...

They deprive Crimea of water

They deprive occupied territory of water for crops

They put one area of occupied territory in disarray, impacting defenses

They gain talking points in the propaganda blame game 

A potential shutdown of nuclear power",2
189,"@TuckerCarlson the nuclear plant is on cold shutdown, no danger",2
190,"Likely buys 3+ weeks and enables Russians to re-locate to fall back positions

Likely impacts the Canal system feeding into Crimea and several Ag regions in Southern Ukraine

Likely puts stress on the Nuclear Power Plant upstream, but if plant is in Shutdown state????????Ã¢ÂÂ¬??????? https://t.co/WWZNN2tFyz",0
191,@takvera @LisaGershwin Watched we should be very concerned!  https://t.co/lL6BYSiFrv,1
192,"Ukraine Says Shutdown Considered For Zaporizhzhya, Seeks Peacekeepers After UN Watchdog's Report #truecrime #unsolved https://t.co/DXtbzr7kOr",0
193,"@artyomka26 @AlexEpstein Agree on nuclear energy! Unfortunately there is bad reputation and the gas lobby continues to push governments to shutdown nuclear plants (look at Germany to see the perfect example of economical nonsense and the strength of gas lobby)

Nuclear is less scalable deu to????????Ã¢ÂÂ¬??????? https://t.co/6i61WqeZ8r",2
194,"@PhilibertLeslie @dorfman_p @energybants The entire EU is a lot less wealthy due to the misguided shutdown of German nuclear power. Germany's status as an industrial manufacturing country is at stake.

Nuclear is by far the safest form of energy production we have.",2
195,RT @james_acton32: Does anyone have any sense--order of magnitude--of the water needs (lh/hr) of a six-unit nuclear power plant in cold shu????????Ã¢ÂÂ¬???????,0
196,"@TorbenKeil @KonProg Der guardian sagt 5 Reaktoren heruntergefahren und einer im ""hot shutdown"". Scheint mir so ein zwischending zu sein. 
https://t.co/NdX4P2R4Cs",0
197,"@MarkusLandgraf @TerryReintke Shutdown nuclear, cancelled Nord Stream 2 but happy to burn coal (which I've posted about) and accept Russian LNG.",1
198,"@dwallacewells LOL, what dishonest idiocy. As you pollute the world mining for the minerals, fill land fills with expired panels and sit in the dark waiting for sunrise shivering. Energy poverty? Ask Germany about it after the fools shutdown their nuclear power plants.",2
199,@TuckerCarlson Only think I don????????Ã¢ÂÂ¬???????t agree with him here is the fact he????????Ã¢ÂÂ¬???????s not mentioned the reactors were put into cold shutdown so there isn????????Ã¢ÂÂ¬???????t exactly a risk of nuclear disaster. They have been in cold shut down since late 22.,2
